Relationship, Support, Confidence, Lift, Leverage, Conviction
"{12305, 95398}' -> '{92490}", 0.024550, 0.952830, 36.980598, 0.023886, 20.653767
"{92490, 95398}' -> '{12305}", 0.024550, 0.980583, 26.195562, 0.023613, 49.572190
"{51657}' -> '{92490, 95398}", 0.024550, 0.943925, 37.702023, 0.023899, 17.386849
"{92490}' -> '{51657, 95398}", 0.024550, 0.952830, 37.332794, 0.023893, 20.658920
"{95398}' -> '{51657, 92490}", 0.024550, 0.926606, 37.010243, 0.023887, 13.283878
"{51657, 92490}' -> '{95398}", 0.024550, 0.980583, 37.010243, 0.023887, 50.135510
"{51657, 95398}' -> '{92490}", 0.024550, 0.961905, 37.332794, 0.023893, 25.573650
"{92490, 95398}' -> '{51657}", 0.024550, 0.980583, 37.702023, 0.023899, 50.160547
"{51657}' -> '{12305, 92490}", 0.024550, 0.943925, 37.339504, 0.023893, 17.382515
"{92490}' -> '{51657, 12305}", 0.024550, 0.952830, 37.691763, 0.023899, 20.664073
"{12305}' -> '{51657, 92490}", 0.024550, 0.655844, 26.195562, 0.023613, 2.832913
"{51657, 92490}' -> '{12305}", 0.024550, 0.980583, 26.195562, 0.023613, 49.572190
"{51657, 12305}' -> '{92490}", 0.024550, 0.971154, 37.691763, 0.023899, 33.773455
"{12305, 92490}' -> '{51657}", 0.024550, 0.971154, 37.339504, 0.023893, 33.765029
"{51657}' -> '{95398, 7190}", 0.024064, 0.925234, 37.317757, 0.023419, 13.043388
"{95398}' -> '{51657, 7190}", 0.024064, 0.908257, 36.995731, 0.023414, 10.632401
"{7190}' -> '{51657, 95398}", 0.024064, 0.942857, 36.942041, 0.023413, 17.053354
"{51657, 95398}' -> '{7190}", 0.024064, 0.942857, 36.942041, 0.023413, 17.053354
"{51657, 7190}' -> '{95398}", 0.024064, 0.980198, 36.995731, 0.023414, 49.162005
"{95398, 7190}' -> '{51657}", 0.024064, 0.970588, 37.317757, 0.023419, 33.115701
"{51657}' -> '{24746, 95398}", 0.024064, 0.925234, 37.317757, 0.023419, 13.043388
"{24746}' -> '{51657, 95398}", 0.024064, 0.951923, 37.297253, 0.023419, 20.269129
"{95398}' -> '{51657, 24746}", 0.024064, 0.908257, 36.995731, 0.023414, 10.632401
"{51657, 24746}' -> '{95398}", 0.024064, 0.980198, 36.995731, 0.023414, 49.162005
"{51657, 95398}' -> '{24746}", 0.024064, 0.942857, 37.297253, 0.023419, 17.057608
"{24746, 95398}' -> '{51657}", 0.024064, 0.970588, 37.317757, 0.023419, 33.115701
"{12305}' -> '{24746, 95398}", 0.024064, 0.642857, 25.928571, 0.023136, 2.730579
"{24746}' -> '{12305, 95398}", 0.024064, 0.951923, 36.945392, 0.023413, 20.264073
"{95398}' -> '{12305, 24746}", 0.024064, 0.908257, 36.995731, 0.023414, 10.632401
"{12305, 24746}' -> '{95398}", 0.024064, 0.980198, 36.995731, 0.023414, 49.162005
"{12305, 95398}' -> '{24746}", 0.024064, 0.933962, 36.945392, 0.023413, 14.760053
"{24746, 95398}' -> '{12305}", 0.024064, 0.970588, 25.928571, 0.023136, 32.727272
"{12305}' -> '{95398, 7190}", 0.024064, 0.642857, 25.928571, 0.023136, 2.730579
"{95398}' -> '{12305, 7190}", 0.024064, 0.908257, 36.633028, 0.023407, 10.629752
"{7190}' -> '{12305, 95398}", 0.024064, 0.942857, 36.593531, 0.023407, 17.049100
"{12305, 95398}' -> '{7190}", 0.024064, 0.933962, 36.593531, 0.023407, 14.756372
"{12305, 7190}' -> '{95398}", 0.024064, 0.970588, 36.633028, 0.023407, 33.099172
"{95398, 7190}' -> '{12305}", 0.024064, 0.970588, 25.928571, 0.023136, 32.727272
"{12305}' -> '{51657, 24746}", 0.023821, 0.636364, 25.920792, 0.022902, 2.682487
"{24746}' -> '{12305, 51657}", 0.023821, 0.942308, 37.275518, 0.023182, 16.895154
"{51657}' -> '{12305, 24746}", 0.023821, 0.915888, 37.306561, 0.023183, 11.597013
"{12305, 24746}' -> '{51657}", 0.023821, 0.970297, 37.306561, 0.023183, 32.791038
"{12305, 51657}' -> '{24746}", 0.023821, 0.942308, 37.275518, 0.023182, 16.895154
"{51657, 24746}' -> '{12305}", 0.023821, 0.970297, 25.920792, 0.022902, 32.406416
"{51657}' -> '{12305, 7190}", 0.023821, 0.915888, 36.940810, 0.023176, 11.594123
"{12305}' -> '{51657, 7190}", 0.023821, 0.636364, 25.920792, 0.022902, 2.682487
"{7190}' -> '{51657, 12305}", 0.023821, 0.933333, 36.920513, 0.023176, 14.620807
"{51657, 12305}' -> '{7190}", 0.023821, 0.942308, 36.920513, 0.023176, 16.890941
"{51657, 7190}' -> '{12305}", 0.023821, 0.970297, 25.920792, 0.022902, 32.406416
"{12305, 7190}' -> '{51657}", 0.023821, 0.960784, 36.940810, 0.023176, 24.836776
"{12305}' -> '{92490, 7190}", 0.023821, 0.636364, 26.180000, 0.022911, 2.683155
"{92490}' -> '{12305, 7190}", 0.023821, 0.924528, 37.289308, 0.023182, 12.921487
"{7190}' -> '{12305, 92490}", 0.023821, 0.933333, 36.920513, 0.023176, 14.620807
"{12305, 92490}' -> '{7190}", 0.023821, 0.942308, 36.920513, 0.023176, 16.890941
"{12305, 7190}' -> '{92490}", 0.023821, 0.960784, 37.289308, 0.023182, 24.842975
"{92490, 7190}' -> '{12305}", 0.023821, 0.980000, 26.180000, 0.022911, 48.128340
"{24746}' -> '{92490, 95398}", 0.023578, 0.932692, 37.253361, 0.022945, 14.485172
"{92490}' -> '{24746, 95398}", 0.023578, 0.915094, 36.908805, 0.022939, 11.485767
"{95398}' -> '{24746, 92490}", 0.023578, 0.889908, 36.980632, 0.022940, 8.864750
"{24746, 92490}' -> '{95398}", 0.023578, 0.979798, 36.980632, 0.022940, 48.188500
"{24746, 95398}' -> '{92490}", 0.023578, 0.950980, 36.908805, 0.022939, 19.874380
"{92490, 95398}' -> '{24746}", 0.023578, 0.941748, 37.253361, 0.022945, 16.732701
"{51657}' -> '{24746, 92490}", 0.023578, 0.906542, 37.671859, 0.022952, 10.442513
"{24746}' -> '{51657, 92490}", 0.023578, 0.932692, 37.253361, 0.022945, 14.485172
"{92490}' -> '{51657, 24746}", 0.023578, 0.915094, 37.274239, 0.022945, 11.488629
"{51657, 24746}' -> '{92490}", 0.023578, 0.960396, 37.274239, 0.022945, 24.599416
"{51657, 92490}' -> '{24746}", 0.023578, 0.941748, 37.253361, 0.022945, 16.732701
"{24746, 92490}' -> '{51657}", 0.023578, 0.979798, 37.671859, 0.022952, 48.212564
"{12305}' -> '{24746, 92490}", 0.023578, 0.629870, 26.174603, 0.022677, 2.636739
"{24746}' -> '{12305, 92490}", 0.023578, 0.932692, 36.895155, 0.022939, 14.481561
"{92490}' -> '{12305, 24746}", 0.023578, 0.915094, 37.274239, 0.022945, 11.488629
"{12305, 24746}' -> '{92490}", 0.023578, 0.960396, 37.274239, 0.022945, 24.599416
"{12305, 92490}' -> '{24746}", 0.023578, 0.932692, 36.895155, 0.022939, 14.481561
"{24746, 92490}' -> '{12305}", 0.023578, 0.979798, 26.174603, 0.022677, 47.647056
"{92490}' -> '{95398, 7190}", 0.023578, 0.915094, 36.908805, 0.022939, 11.485767
"{95398}' -> '{92490, 7190}", 0.023578, 0.889908, 36.610826, 0.022934, 8.862542
"{7190}' -> '{92490, 95398}", 0.023578, 0.923810, 36.898567, 0.022939, 12.796396
"{92490, 95398}' -> '{7190}", 0.023578, 0.941748, 36.898567, 0.022939, 16.728528
"{92490, 7190}' -> '{95398}", 0.023578, 0.970000, 36.610826, 0.022934, 32.450169
"{95398, 7190}' -> '{92490}", 0.023578, 0.950980, 36.908805, 0.022939, 19.874380
"{51657}' -> '{92490, 7190}", 0.023578, 0.906542, 37.295140, 0.022946, 10.439912
"{92490}' -> '{51657, 7190}", 0.023578, 0.915094, 37.274239, 0.022945, 11.488629
"{7190}' -> '{51657, 92490}", 0.023578, 0.923810, 36.898567, 0.022939, 12.796396
"{51657, 92490}' -> '{7190}", 0.023578, 0.941748, 36.898567, 0.022939, 16.728528
"{51657, 7190}' -> '{92490}", 0.023578, 0.960396, 37.274239, 0.022945, 24.599416
"{92490, 7190}' -> '{51657}", 0.023578, 0.970000, 37.295140, 0.022946, 32.466374
"{12305}' -> '{95398, 88631}", 0.023335, 0.623377, 25.904762, 0.022434, 2.591278
"{95398}' -> '{12305, 88631}", 0.023335, 0.880734, 36.599388, 0.022697, 8.182846
"{88631}' -> '{12305, 95398}", 0.023335, 0.941176, 36.528302, 0.022696, 16.561983
"{12305, 95398}' -> '{88631}", 0.023335, 0.905660, 36.528302, 0.022696, 10.337190
"{12305, 88631}' -> '{95398}", 0.023335, 0.969697, 36.599388, 0.022697, 32.125667
"{95398, 88631}' -> '{12305}", 0.023335, 0.969697, 25.904762, 0.022434, 31.764705
"{51657}' -> '{95398, 88631}", 0.023335, 0.897196, 37.283489, 0.022709, 9.493194
"{95398}' -> '{51657, 88631}", 0.023335, 0.880734, 36.972852, 0.022704, 8.184885
"{88631}' -> '{51657, 95398}", 0.023335, 0.941176, 36.876190, 0.022702, 16.566115
"{51657, 95398}' -> '{88631}", 0.023335, 0.914286, 36.876190, 0.022702, 11.377410
"{51657, 88631}' -> '{95398}", 0.023335, 0.979592, 36.972852, 0.022704, 47.701748
"{95398, 88631}' -> '{51657}", 0.023335, 0.969697, 37.283489, 0.022709, 32.141710
"{24746}' -> '{95398, 7190}", 0.023335, 0.923077, 37.230769, 0.022708, 12.677686
"{95398}' -> '{24746, 7190}", 0.023335, 0.880734, 36.972852, 0.022704, 8.184885
"{7190}' -> '{24746, 95398}", 0.023335, 0.914286, 36.876190, 0.022702, 11.377410
